All DT CAPITAL All O
All JJ live O
live NNS births O
births JJR > O
> CC or O
or JJ = O
= CD 23 O
23 NNS weeks O
weeks IN at O
at DT the O
the NNP CAPITAL University O
University IN of O
of NNP CAPITAL Vermont O
Vermont IN in O
in CD 1995 O
1995 NN ( O
( NN n O
n JJ = O
= CD 2395 O
2395 NN ) O
) VBD were O
were RB retrospectively O
retrospectively VBN analyzed O
analyzed IN for O
for NN delivery O
delivery NN route O
route , , O
, NN indication O
indication IN for O
for NN cesarean O
cesarean , , O
, JJ gestational O
gestational NN age O
age , , O
, NN parity O
parity , , O
, CC and O
and NN practice O
practice NN group O
group NN ( O
( TO to O
to VB reflect O
reflect NN risk O
risk NN status O
status NN ) O

The DT CAPITAL The O
The JJ total O
total NN cesarean O
cesarean NN rate O
rate VBD was O
was CD 14.4 O
14.4 NN % O
% NN ( O
( CD 344 O
344 IN of O
of CD 2395 O
2395 NN ) O
) , , O
, CC and O
and DT the O
the JJ primary O
primary NN rate O
rate VBD was O
was CD 11.4 O
11.4 NN % O
% NN ( O
( CD 244 O
244 IN of O
of CD 2144 O
2144 NN ) O

Abnormal JJ CAPITAL Abnormal O
Abnormal NN presentation O
presentation VBD was O
was DT the O
the JJS most O
most JJ common O
common NN indication O
indication NN ( O
( CD 25.6 O
25.6 NN % O
% , , O
, CD 88 O
88 IN of O
of CD 344 O
344 NN ) O

The DT CAPITAL The O
The `` `` O
`` VBN corrected O
corrected '' '' O
'' NN cesarean O
cesarean NN rate O
rate NN ( O
( JJ maternal-fetal O
maternal-fetal NN medicine O
medicine CC and O
and VBN transported O
transported NNS patients O
patients VBN excluded O
excluded NN ) O
) VBD was O
was CD 12.4 O
12.4 NN % O
% NN ( O
( CD 273 O
273 IN of O
of CD 2194 O
2194 NN ) O
) , , O
, CC and O
and DT the O
the `` `` O
`` VBN corrected O
corrected '' '' O
'' JJ primary O
primary NN rate O
rate VBD was O
was CD 9.6 O
9.6 NN % O
% NN ( O
( CD 190 O
190 IN of O
of CD 1975 O
1975 NN ) O

Furthermore RB CAPITAL Furthermore O
Furthermore , , O
, WRB when O
when DT all O
all NNS deliveries O
deliveries VBD were O
were VBN analyzed O
analyzed , , O
, RB regardless O
regardless IN of O
of NN risk O
risk NN status O
status CC but O
but JJ limited O
limited TO to O
to JJ gestational O
gestational NN age O
age JJR > O
> CC or O
or JJ = O
= CD 36 O
36 NNS weeks O
weeks , , O
, DT the O
the NNS rates O
rates VBD did O
did RB not O
not NN change O
change NN ( O
( CD 12.6 O
12.6 NN % O
% , , O
, CD 280 O
280 IN of O
of CD 2214 O
2214 : ; O
; JJ primary O
primary CD 9.2 O
9.2 NN % O
% , , O
, CD 183 O
183 IN of O
of CD 1994 O
1994 NN ) O

Arrest NN CAPITAL Arrest O
Arrest IN of O
of NN dilation O
dilation VBD was O
was DT the O
the JJS most O
most JJ common O
common NN indication O
indication IN in O
in DT both O
both `` `` O
`` VBN corrected O
corrected '' '' O
'' NNS subgroups O
subgroups NN ( O
( CD 23.4 O
23.4 CC and O
and CD 24.6 O
24.6 NN % O
% , , O
, RB respectively O
respectively NN ) O

Cesarean JJ CAPITAL Cesarean O
Cesarean NNS rates O
rates IN at O
at JJ tertiary O
tertiary NN care O
care NNS hospitals O
hospitals MD should O
should VB be O
be VBN compared O
compared IN with O
with NNS rates O
rates IN at O
at NN community O
community NNS hospitals O
hospitals RB only O
only IN after O
after VBG correcting O
correcting IN for O
for JJ dissimilar O
dissimilar NN patient O
patient NNS groups O
groups CC or O
or JJ gestational O
gestational NN age O

In IN CAPITAL In O
In DT the O
the JJ third O
third NN trimester O
trimester , , O
, DT the O
the JJ amniotic O
amniotic NN fluid O
fluid NN index O
index NN ( O
( NN CAPITAL AFI O
AFI NN ) O
) MD may O
may VB be O
be VBN affected O
affected IN by O
by JJ maternal O
maternal NN fluid O
fluid NN status O

As IN CAPITAL As O
As DT the O
the JJ ambient O
ambient NN temperature O
temperature NNS increases O
increases , , O
, RB there O
there VBZ is O
is DT an O
an NN increase O
increase IN in O
in JJ insensible O
insensible NN fluid O
fluid NN loss O
loss CC and O
and DT the O
the JJ potential O
potential IN for O
for NN dehydration O

We PRP CAPITAL We O
We VB hypothesize O
hypothesize IN that O
that IN as O
as NN temperature O
temperature NNS increases O
increases RB there O
there MD would O
would VB be O
be DT a O
a JJ concomitant O
concomitant NN decrease O
decrease IN in O
in NN CAPITAL AFI O

From IN CAPITAL From O
From NNP CAPITAL June O
June CD 11 O
11 TO to O
to NNP CAPITAL August O
August CD 16 O
16 , , O
, CD 1993 O
1993 , , O
, IN during O
during DT a O
a NN period O
period IN of O
of JJ unusual O
unusual JJ high O
high NN heat O
heat , , O
, CD 42 O
42 NNS women O
women IN with O
with NN singleton O
singleton NNS pregnancies O
pregnancies IN between O
between CD 27 O
27 CC and O
and CD 40 O
40 NNS weeks O
weeks POS ' O
' JJ gestation O
gestation VBG undergoing O
undergoing JJ serial O
serial JJ antenatal O
antenatal NN testing O
testing VBD had O
had NN CAPITAL AFI O
AFI NNS determinations O
determinations VBN recorded O
recorded IN at O
at JJS least O
least JJ weekly O

The DT CAPITAL The O
The RB daily O
daily JJ high O
high JJ ambient O
ambient NN temperature O
temperature IN in O
in PRP$ our O
our JJ urban O
urban NN area O
area VBD was O
was RB subsequently O
subsequently VBN obtained O

A DT CAPITAL A O
A CD 2- O
2- , , O
, CD 3- O
3- , , O
, CC and O
and JJ 4-day O
4-day VB mean O
mean NN temperature O
temperature RB prior O
prior TO to O
to DT the O
the NN test O
test NN date O
date VBD was O
was VBN compared O
compared TO to O
to NN CAPITAL AFI O
AFI VBG using O
using DT a O
a JJ CAPITAL Spearman-rank O
Spearman-rank NN CAPITAL Correlation O

The DT CAPITAL The O
The RB daily O
daily JJ high O
high NN temperature O
temperature VBD ranged O
ranged IN from O
from CD 71 O
71 TO to O
to CD 104 O
104 NNS degrees O
degrees NN CAPITAL F O
F CC and O
and NN CAPITAL AFI O
AFI NNS values O
values VBD ranged O
ranged IN from O
from CD 1.7 O
1.7 TO to O
to CD 24.7 O
24.7 NN cm O
cm IN during O
during DT the O
the NN study O
study NN period O

There EX CAPITAL There O
There VBD was O
was DT a O
a JJ significant O
significant NN correlation O
correlation IN between O
between DT the O
the CD 2- O
2- , , O
, CD 3- O
3- , , O
, CC and O
and JJ 4-day O
4-day VB mean O
mean NN temperature O
temperature CC and O
and NN CAPITAL AFI O
AFI , , O
, IN with O
with DT the O
the JJ 4-day O
4-day VB mean O
mean VBG being O
being DT the O
the JJS most O
most JJ significant O
significant NN ( O
( NN r O
r JJ = O
= CD 0.31 O
0.31 , , O
, NN p O
p CC & O
& # # O
# CD 60 O
60 : ; O
; CD 0.001 O
0.001 NN ) O

Fluctuations NNS CAPITAL Fluctuations O
Fluctuations IN in O
in JJ ambient O
ambient NN temperature O
temperature VBP are O
are RB inversely O
inversely VBD correlated O
correlated TO to O
to NNS changes O
changes IN in O
in NN CAPITAL AFI O

This DT CAPITAL This O
This NN relationship O
relationship MD should O
should VB be O
be VBN taken O
taken IN into O
into NN account O
account WRB when O
when VBG interpreting O
interpreting DT the O
the NN CAPITAL AFI O
AFI IN as O
as DT a O
a NN measure O
measure IN of O
of JJ fetal O
fetal NN well-being O

This DT CAPITAL This O
This NN study O
study VBN tested O
tested DT the O
the NN hypothesis O
hypothesis IN that O
that TO to O
to VB reduce O
reduce DT the O
the NN rate O
rate IN of O
of JJ macrosomic O
macrosomic NNS infants O
infants IN in O
in JJ gestational O
gestational NN diabetes O
diabetes NNS cases O
cases , , O
, JJ good O
good JJ glycemic O
glycemic NN control O
control MD should O
should VB be O
be VBN initiated O
initiated IN before O
before CD 34 O
34 VBN completed O
completed JJ gestational O
gestational NNS weeks O

The DT CAPITAL The O
The NN study O
study NN population O
population VBN included O
included CD 84 O
84 NNS women O
women IN with O
with JJ gestational D
gestational NN diabetes D
diabetes , , O
, VBN ascertained O
ascertained IN by O
by JJ universal O
universal VBG screening O
screening IN of O
of DT all O
all NNS women O
women VBG attending O
attending DT the O
the JJ antenatal O
antenatal NN clinic O
clinic IN of O
of DT the O
the NNP CAPITAL Hadassah O
Hadassah JJ CAPITAL Medical O
Medical NNP CAPITAL Center O
Center , , O
, IN over O
over DT a O
a JJ 2-year O
2-year NN period O

The DT CAPITAL The O
The CD 60 O
60 NNS women O
women NN ( O
( CD 71 O
71 NN % O
% NN ) O
) , , O
, WP who O
who VBN initiated O
initiated NN treatment O
treatment IN before O
before CD 34 O
34 VBN completed O
completed NNS weeks O
weeks , , O
, VBN composed O
composed DT the O
the `` `` O
`` RB early O
early '' '' O
'' NN group O

The DT CAPITAL The O
The CD 24 O
24 NNS women O
women NN ( O
( CD 29 O
29 NN % O
% NN ) O
) , , O
, WP who O
who VBN initiated O
initiated NN treatment O
treatment IN after O
after DT the O
the JJ 34th O
34th NN week O
week , , O
, VBN composed O
composed DT the O
the `` `` O
`` RB late O
late '' '' O
'' NN group O

All DT CAPITAL All O
All NNS patients O
patients VBD were O
were VBN managed O
managed IN by O
by DT an O
an VBN intensified O
intensified NN protocol O
protocol , , O
, VBG including O
including JJ stringent O
stringent JJ glycemic T
glycemic JJ control T

In IN CAPITAL In O
In DT the O
the `` `` O
`` RB early O
early '' '' O
'' CC and O
and `` `` O
`` RB late O
late '' '' O
'' NNS groups O
groups , , O
, VB mean O
mean JJ gestational O
gestational NN age O
age IN at O
at DT the O
the VBG beginning O
beginning IN of O
of NN treatment O
treatment VBD was O
was CD 30.0 O
30.0 CC +/- O
+/- CD 3.8 O
3.8 CC and O
and CD 36.2 O
36.2 CC +/- O
+/- CD 1.2 O
1.2 NNS weeks O
weeks , , O
, CC and O
and NN duration O
duration IN of O
of NN treatment O
treatment VBD was O
was CD 9.6 O
9.6 CC +/- O
+/- CD 4.1 O
4.1 CC and O
and CD 3.7 O
3.7 CC +/- O
+/- CD 1.8 O
1.8 NNS weeks O
weeks , , O
, RB respectively O

Maternal JJ CAPITAL Maternal O
Maternal NNS characteristics O
characteristics VBD were O
were JJ similar O
similar IN in O
in DT the O
the CD two O
two NNS groups O

The DT CAPITAL The O
The NN rate O
rate IN of O
of JJ macrosomic O
macrosomic CC and O
and JJ large-for-gestational-age O
large-for-gestational-age NNS infants O
infants VBD were O
were CD 5 O
5 CC and O
and CD 11 O
11 NN % O
% , , O
, RB respectively O
respectively , , O
, IN in O
in DT the O
the RB early O
early NN group O
group IN as O
as VBN compared O
compared TO to O
to CD 25 O
25 CC and O
and CD 29 O
29 NN % O
% IN in O
in DT the O
the `` `` O
`` RB late O
late '' '' O
'' NN group O
group NN ( O
( NN p O
p CC & O
& # # O
# CD 60 O
60 : ; O
; CD 0.05 O
0.05 NN ) O

No DT CAPITAL No O
No JJ significant O
significant NNS differences O
differences VBD were O
were VBN found O
found IN between O
between DT the O
the CD two O
two NNS groups O
groups IN in O
in DT the O
the NN mode O
mode IN of O
of NN delivery O
delivery CC or O
or NNP CAPITAL Apgar O
Apgar NNS scores O

We PRP CAPITAL We O
We VBP conclude O
conclude IN that O
that TO to O
to VB reduce O
reduce DT the O
the NN rate O
rate IN of O
of JJ macrosomic D
macrosomic NNS infants D
infants IN in D
in JJ gestational D
gestational NN diabetes D
diabetes NNS cases D
cases , , O
, JJ good T
good JJ glycemic T
glycemic JJ control T
control MD should O
should VB be O
be VBN initiated O
initiated IN before O
before CD 34 O
34 VBN completed O
completed JJ gestational O
gestational NNS weeks O

Our PRP$ CAPITAL Our O
Our NN aim O
aim VBD was O
was TO to O
to VB investigate O
investigate DT the O
the NN contribution O
contribution IN of O
of JJ certain O
certain RB antenatally O
antenatally JJ detectable O
detectable NNS markers O
markers VBG leading O
leading TO to O
to DT the O
the NN diagnosis O
diagnosis IN of O
of JJ trisomic O
trisomic NNS fetuses O
fetuses PRP we O
we VBN observed O
observed IN over O
over DT a O
a NN period O
period IN of O
of CD 6 O
6 NNS years O

In IN CAPITAL In O
In PRP$ our O
our NN study O
study , , O
, PRP we O
we RB specifically O
specifically VBN analyzed O
analyzed DT the O
the NN role O
role VBN played O
played IN by O
by JJ advanced O
advanced JJ maternal O
maternal NN age O
age CC and O
and RB sonographically O
sonographically VBN discovered O
discovered NNS abnormalities O
abnormalities IN in O
in DT the O
the NN detection O
detection IN of O
of JJ autosomal D
autosomal NNS trisomies D

All DT CAPITAL All O
All RB together O
together , , O
, CD 27 O
27 NNS fetuses O
fetuses VBD had O
had DT this O
this NN disorder O
disorder , , O
, VBG representing O
representing CD 28.7 O
28.7 NN % O
% NN ( O
( CD 27 O
27 IN of O
of CD 94 O
94 NN ) O
) IN of O
of DT all O
all JJ cytogenetic D
cytogenetic NNS aberrations D
aberrations VBN detected O
detected IN at O
at PRP$ our O
our NN center O
center IN over O
over DT the O
the JJ same O
same NN period O

Down NN CAPITAL Down D
Down NN syndrome D
syndrome NN ( O
( CD 12 O
12 NNS cases O
cases NN ) O
) CC and O
and NNP CAPITAL Edward D
Edward NN syndrome D
syndrome NN ( O
( CD 11 O
11 NNS cases O
cases NN ) O
) VBD were O
were DT the O
the JJS most O
most JJ common O
common NNS trisomies D
trisomies , , O
, IN while O
while CD 4 O
4 NNS cases O
cases IN of O
of NN CAPITAL Patau D
Patau NN syndrome D
syndrome VBD were O
were RB also O
also VBN diagnosed O

The DT CAPITAL The O
The JJS most O
most JJ common O
common NN indication O
indication VBG leading O
leading TO to O
to NN diagnosis O
diagnosis VBD was O
was JJ abnormal O
abnormal NN ultrasound O
ultrasound VBG finding O
finding NN ( O
( CD 48.2 O
48.2 NN % O
% NN ) O
) , , O
, VBN followed O
followed IN by O
by JJ advanced O
advanced JJ maternal O
maternal NN age O
age NN ( O
( CD 44.4 O
44.4 NN % O
% NN ) O

However RB CAPITAL However O
However , , O
, CD 63 O
63 NN % O
% IN of O
of DT the O
the JJ trisomic O
trisomic NNS fetuses O
fetuses VBD belonged O
belonged TO to O
to NNS mothers O
mothers JJ aged O
aged CD 35 O
35 NNS years O
years CC and O
and IN above O

Down NN CAPITAL Down D
Down NN syndrome D
syndrome NNS fetuses O
fetuses NN ( O
( CD 41.7 O
41.7 NN % O
% NN ) O
) VBD had O
had RB prenatally O
prenatally VBN detected O
detected JJ sonographic O
sonographic NNS anomalies O
anomalies , , O
, CD 63.6 O
63.6 NN % O
% IN for O
for NNP CAPITAL Edward D
Edward NN syndrome D
syndrome , , O
, CC and O
and DT all O
all NNS fetuses O
fetuses IN with O
with NN CAPITAL Patau D
Patau NN syndrome D
syndrome NN ( O
( CD 4 O
4 IN of O
of CD 4 O
4 NN ) O
) VBD showed O
showed JJ abnormal O
abnormal JJ sonographic O
sonographic NNS signs O

Trisomy NN CAPITAL Trisomy D
Trisomy CD 21 D
21 VBN presented O
presented IN with O
with DT the O
the VBG following O
following NNS features O
features : : O
: NNS hydramnios O
hydramnios , , O
, JJ complex O
complex NNS malformations O
malformations , , O
, NN pyelectasis D
pyelectasis , , O
, CC and O
and JJ duodenal D
duodenal NN atresia D

Trisomy NN CAPITAL Trisomy D
Trisomy CD 18 D
18 NNS fetuses O
fetuses VBD showed O
showed NNS hydramnios O
hydramnios , , O
, JJ intrauterine O
intrauterine NN growth O
growth NN retardation O
retardation , , O
, NN microcephaly D
microcephaly , , O
, NN spina D
spina NN bifida D
bifida , , O
, CC and O
and JJ nonimmune D
nonimmune NN hydrops D
hydrops NN fetalis D

Signs NNS CAPITAL Signs O
Signs VBN observed O
observed IN in O
in NNS fetuses O
fetuses IN with O
with NN trisomy D
trisomy CD 13 D
13 VBD were O
were : : O
: NN hydrocephalus O
hydrocephalus , , O
, JJ intrauterine O
intrauterine NN growth O
growth NN retardation O
retardation , , O
, NNS oligoanhydramnios O
oligoanhydramnios , , O
, JJ complex O
complex NNS malformations O
malformations , , O
, JJ severe O
severe JJ fetal O
fetal NN bradycardia D
bradycardia CC and O
and NN hydronephrosis D

The DT CAPITAL The O
The JJ objective O
objective IN of O
of DT this O
this NN study O
study VBD was O
was TO to O
to VB determine O
determine IN if O
if DT the O
the NN rate O
rate IN of O
of NN preeclampsia D
preeclampsia VBZ is O
is VBN increased O
increased IN in O
